Age,Gender,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
56,Female,Travel_Rarely,Sales,4,2,Medical,4,4,3,Laboratory Technician,3,Single,11467.0,1,No,14,3,2,2,38,1,2,35,33,5,35,No
46,Male,Travel_Rarely,Sales,20,2,Marketing,2,2,3,Manufacturing Director,3,Single,9226.0,6,No,13,3,3,0,24,4,3,24,21,5,21,No
32,Female,Travel_Rarely,Sales,27,4,Marketing,3,4,2,Healthcare Representative,1,Single,7855.0,2,Yes,12,3,4,1,12,5,2,9,9,3,5,No
60,Female,Travel_Rarely,Sales,21,2,Other,2,2,4,Manufacturing Director,3,Married,14912.0,6,Yes,15,3,4,3,40,6,2,36,36,3,33,No
25,Male,Non-Travel,Research & Development,28,2,Human Resources,4,4,1,Human Resources,1,Single,2960.0,8,No,14,3,1,3,6,3,3,2,1,2,0,No
38,Male,Non-Travel,Research & Development,22,3,Marketing,4,1,1,Laboratory Technician,3,Single,4304.0,0,No,15,3,2,0,17,6,4,10,7,0,9,No
56,Female,Non-Travel,Sales,7,3,Life Sciences,3,2,5,Healthcare Representative,1,Divorced,16336.0,2,Yes,23,3,1,1,33,6,2,27,27,2,27,No
36,Male,Non-Travel,Research & Development,15,3,Other,4,1,5,Sales Representative,3,Married,14483.0,5,No,22,3,3,2,16,4,4,16,15,3,14,No
40,Female,Travel_Rarely,Research & Development,22,3,Marketing,3,3,2,Sales Representative,2,Married,7751.0,8,No,22,3,4,1,18,1,2,12,9,1,10,No
28,Male,Travel_Rarely,Research & Development,17,3,Marketing,3,1,3,Manager,2,Married,8779.0,4,No,18,3,4,3,9,5,4,3,1,2,0,No
